종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
263720,디앤씨미디어,"23,550","150","0.64","23,550","23,500","134,638","3,167,146,600","23,550","24,250","22,600","500",원(KRW),"12,275,111","289,078,864,050",
109740,디에스케이,"10,050","130","1.31","10,100","10,050","81,216","814,930,390","9,920","10,200","9,910","500",원(KRW),"20,354,763","204,565,368,150",
033430,디에스티,"801","-43","5.09","801","800","518,192","418,563,195","844","853","790","100",원(KRW),"64,191,253","51,417,193,653",
131030,디에이치피코리아,"8,880","790","9.77","8,880","8,870","772,886","6,652,057,310","8,280","8,970","8,190","500",원(KRW),"16,564,797","147,095,397,360",
196490,디에이테크놀로지,"1,495","-105","6.56","1,495","1,490","4,025,534","6,193,356,895","1,595","1,650","1,470","500",원(KRW),"57,465,522","85,910,955,390",
066900,디에이피,"3,370","15","0.45","3,370","3,365","19,692","65,950,325","3,410","3,415","3,315","500",원(KRW),"22,744,503","76,648,975,110",
127120,디엔에이링크,"3,355","110","3.39","3,370","3,355","47,116","156,140,340","3,230","3,380","3,210","500",원(KRW),"11,869,981","39,823,786,255",
092070,디엔에프,"10,200","200","2.00","10,250","10,200","90,799","911,064,400","10,000","10,250","9,760","500",원(KRW),"10,761,828","109,770,645,600",
134580,디엠티,"2,470","20","0.82","2,475","2,470","33,162","80,111,460","2,425","2,500","2,315","500",원(KRW),"11,250,000","27,787,500,000",
039840,디오,"38,600","-850","2.15","38,600","38,550","96,191","3,764,141,000","39,700","40,050","38,500","500",원(KRW),"15,523,602","599,211,037,200",
196450,디오스텍,"611","-21","3.32","614","611","1,812,199","1,105,520,014","632","640","600","200",원(KRW),"135,970,735","83,078,119,085",
079810,디이엔티,"4,740","160","3.49","4,740","4,735","125,852","585,749,810","4,585","4,790","4,500","500",원(KRW),"12,424,935","58,894,191,900",
227100,디자인,"7,850","160","2.08","7,860","7,850","37,909","294,204,370","7,690","8,060","7,590","500",원(KRW),"2,660,910","20,888,143,500",
113810,디젠스,"586","-7","1.18","588","586","359,682","208,573,318","593","594","572","500",원(KRW),"32,628,051","19,120,037,886",
043360,디지아이,"2,635","-5","0.19","2,655","2,635","10,206","26,959,125","2,640","2,655","2,630","500",원(KRW),"9,000,000","23,715,000,000",
197140,디지캡,"4,340","180","4.33","4,340","4,305","105,461","447,472,600","4,140","4,360","4,140","500",원(KRW),"7,391,722","32,080,073,480",
106520,디지탈옵틱,"868","0","0.00","868","866","1,656,231","1,438,490,908","893","898","836","500",원(KRW),"91,462,617","79,389,551,556",
068930,디지털대성,"7,680","210","2.81","7,680","7,670","78,594","597,917,860","7,470","7,680","7,400","500",원(KRW),"22,557,223","173,239,472,640",
033130,디지틀조선,"2,405","-10","0.41","2,405","2,400","749,598","1,765,657,920","2,400","2,425","2,300","500",원(KRW),"37,115,267","89,262,217,135",
